city,state,population,latitude,longitude,toy store (20),child toy store (20),toy store (20-w/ coords radius),"children’s clothing store (20-w/ coords, radius)","children’s clothing store (20-w/ coords, rankby)"
new york,NY,8107916,40.7141667,-74.0063889,X,,X,X,X
los angeles,CA,3877129,34.0522222,-118.2427778,X,,X,X,X
chicago,IL,2841952,41.85,-87.65,X,,X,X,X
houston,TX,2027712,29.7630556,-95.3630556,X,X,X,X,X
philadelphia,PA,1453268,39.9522222,-75.1641667,X,,X,X,X
phoenix,AZ,1428509,33.4483333,-112.0733333,X,X,X,X,X
san diego,CA,1287050,32.7152778,-117.1563889,X,,X,X,X
san antonio,TX,1256810,29.4238889,-98.4933333,X,,X,X,X
dallas,TX,1211704,32.7833333,-96.8,X,,X,X,X
san jose,CA,897460,37.3394444,-121.8938889,X,,X,X,X
detroit,MI,884941,42.3313889,-83.0458333,X,,X,X,X
jacksonville,FL,797557,30.3319444,-81.6558333,X,,X,X,X
indianapolis,IN,773283,39.7683333,-86.1580556,X,,X,X,X
columbus,OH,736836,39.9611111,-82.9988889,X,,X,X,X
san francisco,CA,732072,37.775,-122.4183333,X,,X,X,X
austin,TX,678368,30.2669444,-97.7427778,X,,X,X,X
memphis,TN,641608,35.1494444,-90.0488889,X,,X,X,X
fort worth,TX,618119,32.7252778,-97.3205556,X,,X,X,X
baltimore,MD,610892,39.2902778,-76.6125,X,,X,X,X
charlotte,NC,598351,35.2269444,-80.8433333,X,,X,X,X
el paso,TX,597181,31.7586111,-106.4863889,X,,X,X,X
milwaukee,WI,579180,43.0388889,-87.9063889,X,,X,X,X
boston,MA,571281,42.3583333,-71.0602778,X,,X,X,X
seattle,WA,569369,47.6063889,-122.3308333,X,,X,X,X
denver,CO,555981,39.7391667,-104.9841667,X,,X,X,X
washington,DC,552433,38.895,-77.0366667,X,,X,X,X
portland,OR,540513,45.5236111,-122.675,X,,X,X,X
las vegas,NV,540111,36.175,-115.1363889,X,,X,X,X
oklahoma city,OK,532950,35.4675,-97.5161111,X,,X,X,X
nashville,TN,530852,36.1658333,-86.7844444,X,,X,X,X
tucson,AZ,518907,32.2216667,-110.9258333,X,,X,X,X
albuquerque,NM,487378,35.0844444,-106.6505556,X,,X,X,X
long beach,CA,482618,33.7669444,-118.1883333,X,,X,X,X
sacramento,CA,467898,38.5816667,-121.4933333,X,,X,X,X
fresno,CA,465183,36.7477778,-119.7713889,X,,X,X,X
new orleans,LA,459336,29.9544444,-90.075,X,,X,X,X
mesa,AZ,449878,33.4222222,-111.8219444,X,,X,X,X
cleveland,OH,449514,41.4994444,-81.6955556,X,X,X,X,X
virginia beach,VA,449386,36.8527778,-75.9783333,X,X,X,X,X
kansas city,KS,442028,39.1141667,-94.6272222,X,,X,X,X
kansas city,MO,442028,39.0997222,-94.5783333,X,,X,X,X
atlanta,GA,422908,33.7488889,-84.3880556,,,X,X,X
san juan,PR,418140,18.4683333,-66.1061111,,,X,X,X
omaha,NE,413487,41.2586111,-95.9375,X,X,X,X,X
oakland,CA,394579,37.8044444,-122.2697222,X,X,X,X,X
honolulu,HI,384241,21.3069444,-157.8583333,X,X,X,X,X
miami,FL,382894,25.7738889,-80.1938889,X,X,X,X,X
tulsa,OK,382005,36.1538889,-95.9925,X,X,X,X,X
colorado springs,CO,373072,38.8338889,-104.8208333,X,X,X,X,X
minneapolis,MN,367773,44.98,-93.2636111,X,X,X,X,X
arlington,TX,367535,32.7355556,-97.1077778,X,,X,X,X
wichita,KS,355244,37.6922222,-97.3372222,X,,X,X,X
santa ana,CA,343054,33.7455556,-117.8669444,X,,X,X,X
raleigh,NC,338759,35.7719444,-78.6388889,X,X,X,X,X
anaheim,CA,333689,33.8352778,-117.9136111,X,,X,X,X
tampa,FL,324465,27.9472222,-82.4586111,X,,X,X,X
saint louis,MO,320916,38.6272222,-90.1977778,X,,X,X,X
pittsburgh,PA,319494,40.4405556,-79.9961111,X,,X,X,X
toledo,OH,306974,41.6638889,-83.5552778,X,,X,X,X
cincinnati,OH,306382,39.1619444,-84.4569444,X,,X,X,X
aurora,CO,299780,39.7294444,-104.8313889,X,,X,X,X
riverside,CA,297554,33.9533333,-117.3952778,,,X,X,X
bakersfield,CA,291389,35.3733333,-119.0177778,X,,X,X,X
stockton,CA,289580,37.9577778,-121.2897222,X,,X,X,X
corpus christi,TX,280382,27.8002778,-97.3961111,X,,X,X,X
newark,NJ,280123,40.7355556,-74.1727778,X,,X,X,X
buffalo,NY,279557,42.8863889,-78.8786111,X,,X,X,X
anchorage,AK,276263,61.2180556,-149.9002778,X,,X,X,X
saint paul,MN,274792,44.9444444,-93.0930556,X,,X,X,X
lexington-fayette,KY,272079,38.0497222,-84.4586111,X,,X,X,X
plano,TX,253372,33.0197222,-96.6986111,X,,X,X,X
saint petersburg,FL,246316,27.7705556,-82.6794444,X,,X,X,X
norfolk,VA,246216,36.8466667,-76.2855556,X,,X,X,X
louisville,KY,243639,38.2541667,-85.7594444,X,,X,X,X
lincoln,NE,242072,40.8,-96.6666667,X,,X,X,X
glendale,AZ,240112,33.5386111,-112.1852778,X,,X,X,X
henderson,NV,239757,36.0397222,-114.9811111,X,,X,X,X
jersey city,NJ,237681,40.7280556,-74.0780556,X,,X,X,X
chandler,AZ,234297,33.3061111,-111.8405556,X,,X,X,X
greensboro,NC,231769,36.0725,-79.7922222,X,,X,X,X
birmingham,AL,231621,33.5205556,-86.8025,X,,X,X,X
fort wayne,IN,229715,41.1305556,-85.1288889,X,,X,X,X
scottsdale,AZ,225796,33.5091667,-111.8983333,X,,X,X,X
hialeah,FL,224840,25.8572222,-80.2783333,,,X,X,X
madison,WI,224625,43.0730556,-89.4011111,X,,X,X,X
baton rouge,LA,223349,30.4505556,-91.1544444,X,,X,X,X
chesapeake,VA,219124,36.8188889,-76.2752778,X,,X,X,X
garland,TX,217219,32.9125,-96.6386111,X,,X,X,X
modesto,CA,216008,37.6391667,-120.9958333,,,X,X,X
paradise,NV,215120,36.0972222,-115.1458333,,,X,X,X
chula vista,CA,213032,32.64,-117.0833333,X,,X,X,X
lubbock,TX,211387,33.5777778,-101.8547222,X,,X,X,X
rochester,NY,211354,43.1547222,-77.6158333,,,X,X,X
laredo,TX,210769,27.5061111,-99.5072222,,,X,X,X
akron,OH,208414,41.0813889,-81.5191667,,,X,X,X
orlando,FL,207970,28.5380556,-81.3794444,,,X,X,X
durham,NC,204734,35.9938889,-78.8988889,,,X,X,X
glendale,CA,203201,34.1425,-118.2541667,,,X,X,X
fremont,CA,202615,37.5483333,-121.9875,,,X,X,X
san bernardino,CA,202381,34.1083333,-117.2888889,,,X,X,X
reno,NV,202142,39.5297222,-119.8127778,,,X,X,X
montgomery,AL,198325,32.3666667,-86.3,,,X,X,X
yonkers,NY,197818,40.9311111,-73.8991667,,,X,X,X
spokane,WA,197262,47.6588889,-117.425,,,X,X,X
shreveport,LA,196980,32.525,-93.75,,,X,X,X
tacoma,WA,196957,47.2530556,-122.4430556,,,X,X,X
huntington beach,CA,195968,33.6602778,-117.9983333,,,X,X,X
grand rapids,MI,193852,42.9633333,-85.6680556,,,X,X,X
irving,TX,193825,32.8138889,-96.9486111,,,X,X,X
winston-salem,NC,193300,36.0997222,-80.2444444,,,X,X,X
des moines,IA,193180,41.6005556,-93.6088889,,,X,X,X
richmond,VA,190886,37.5536111,-77.4605556,,,X,X,X
mobile,AL,190274,30.6941667,-88.0430556,,,X,X,X
irvine,CA,189297,33.6694444,-117.8222222,,,X,X,X
sunrise manor,NV,188608,36.2111111,-115.0722222,,,X,X,X
oxnard,CA,187235,34.1975,-119.1761111,,,X,X,X
arlington,VA,185360,38.8902778,-77.0844444,,,X,X,X
columbus,GA,185208,32.4608333,-84.9877778,,,X,X,X
little rock,AR,184217,34.7463889,-92.2894444,,,X,X,X
newport news,VA,183444,36.9786111,-76.4283333,,,X,X,X
amarillo,TX,181766,35.2219444,-101.8308333,,,X,X,X
salt lake city,UT,178026,40.7608333,-111.8902778,,,X,X,X
providence,RI,177595,41.8238889,-71.4133333,,,X,X,X
worcester,MA,177216,42.2625,-71.8027778,,,X,X,X
jackson,MS,176696,32.2986111,-90.1847222,,,X,X,X
aurora,IL,174276,41.7605556,-88.32,,,X,X,X
ontario,CA,172808,34.0633333,-117.65,,,X,X,X
knoxville,TN,172474,35.9605556,-83.9208333,,,X,X,X
gilbert,AZ,170829,33.3527778,-111.7883333,,,X,X,X
fort lauderdale,FL,170510,26.1219444,-80.1436111,,,X,X,X
carolina,PR,170408,18.3827778,-65.9577778,,,X,X,X
oceanside,CA,170340,33.1958333,-117.3786111,,,X,X,X
fontana,CA,169160,34.0922222,-117.4341667,,,X,X,X
santa clarita,CA,168927,34.3916667,-118.5416667,,,X,X,X
moreno valley,CA,168629,33.9375,-117.2297222,,,X,X,X
rancho cucamonga,CA,168557,34.1063889,-117.5922222,,,X,X,X
brownsville,TX,168015,25.9013889,-97.4972222,,,X,X,X
huntsville,AL,167528,34.7302778,-86.5861111,,,X,X,X
garden grove,CA,167232,33.7738889,-117.9405556,,,X,X,X
overland park,KS,166010,38.9822222,-94.6705556,,,X,X,X
north las vegas,NV,165416,36.1988889,-115.1166667,,,X,X,X
spring valley,NV,165015,36.1080556,-115.2441667,,,X,X,X
dayton,OH,159134,39.7588889,-84.1916667,,,X,X,X
tempe,AZ,158368,33.4147222,-111.9086111,,,X,X,X
vancouver,WA,157517,45.6388889,-122.6602778,,,X,X,X
pomona,CA,156183,34.0552778,-117.7513889,,,X,X,X
pembroke pines,FL,155862,26.0027778,-80.2241667,,,X,X,X
santa rosa,CA,155118,38.4405556,-122.7133333,,,X,X,X
chattanooga,TN,154024,35.0455556,-85.3097222,,,X,X,X
tallahassee,FL,153583,30.4380556,-84.2808333,,,X,X,X
corona,CA,152954,33.8752778,-117.5655556,,,X,X,X
rockford,IL,152765,42.2711111,-89.0938889,,,X,X,X
ponce,PR,152639,18.0130556,-66.6144444,,,X,X,X
springfield,MA,152227,42.1013889,-72.5902778,,,X,X,X
paterson,NJ,151205,40.9166667,-74.1722222,,,X,X,X
springfield,MO,150443,37.2152778,-93.2980556,,,X,X,X
salinas,CA,148691,36.6777778,-121.6544444,,,X,X,X
hampton,VA,147993,37.0297222,-76.3455556,,,X,X,X
salem,OR,146922,44.9430556,-123.0338889,,,X,X,X
eugene,OR,145208,44.0522222,-123.0855556,,,X,X,X
torrance,CA,144963,33.8358333,-118.3397222,,,X,X,X
hollywood,FL,144821,26.0108333,-80.1497222,,,X,X,X
pasadena,TX,144696,29.6908333,-95.2088889,,,X,X,X
pasadena,CA,144618,34.1477778,-118.1436111,,,X,X,X
naperville,IL,143850,41.7858333,-88.1472222,,,X,X,X
metairie,LA,142489,29.9838889,-90.1527778,,,X,X,X
syracuse,NY,141830,43.0480556,-76.1477778,,,X,X,X
grand prairie,TX,141122,32.7458333,-96.9975,,,X,X,X
lakewood,CO,140772,39.7047222,-105.0808333,,,X,X,X
hayward,CA,140494,37.6688889,-122.0797222,,,X,X,X
sioux falls,SD,140336,43.55,-96.7,,,X,X,X
peoria,AZ,139368,33.5805556,-112.2366667,,,X,X,X
bridgeport,CT,139090,41.1669444,-73.2052778,,,X,X,X
escondido,CA,137119,33.1191667,-117.0855556,,,X,X,X
fullerton,CA,135353,33.8702778,-117.9244444,,,X,X,X
palmdale,CA,135294,34.5794444,-118.1155556,,,X,X,X
joliet,IL,134957,41.525,-88.0816667,,,X,X,X
orange,CA,133874,33.7877778,-117.8522222,,,X,X,X
warren,MI,133517,42.4775,-83.0277778,,,X,X,X
coral springs,FL,131674,26.2708333,-80.2708333,,,X,X,X
mesquite,TX,131337,32.7666667,-96.5988889,,,X,X,X
cape coral,FL,130807,26.5625,-81.9497222,,,X,X,X
lancaster,CA,129548,34.6980556,-118.1358333,,,X,X,X
fort collins,CO,129252,40.5852778,-105.0838889,,,X,X,X
thousand oaks,CA,127942,34.1705556,-118.8366667,,,X,X,X
alexandria,VA,127273,38.8047222,-77.0472222,,,X,X,X
sterling heights,MI,126657,42.5802778,-83.0302778,,,X,X,X
sunnyvale,CA,126499,37.3688889,-122.0352778,,,X,X,X
savannah,GA,126119,32.0833333,-81.1,,,X,X,X
gainesville,FL,125684,29.6513889,-82.325,,,X,X,X
concord,CA,125626,37.9780556,-122.03,,,X,X,X
el monte,CA,125372,34.0686111,-118.0266667,,,X,X,X
east los angeles,CA,125157,34.0238889,-118.1711111,,,X,X,X
new haven,CT,124922,41.3080556,-72.9286111,,,X,X,X
fayetteville,NC,124775,35.0525,-78.8786111,,,X,X,X
hartford,CT,124019,41.7636111,-72.6855556,,,X,X,X
elizabeth,NJ,123913,40.6638889,-74.2111111,,,X,X,X
cedar rapids,IA,122945,42.0083333,-91.6438889,,,X,X,X
topeka,KS,121570,39.0483333,-95.6777778,,,X,X,X
stamford,CT,121230,41.0533333,-73.5391667,,,X,X,X
carrollton,TX,120792,32.9536111,-96.89,,,X,X,X
vallejo,CA,120446,38.1041667,-122.2555556,,,X,X,X
simi valley,CA,119417,34.2694444,-118.7805556,,,X,X,X
port saint lucie,FL,119371,27.2936111,-80.3505556,,,X,X,X
toms river,NJ,119088,39.9536111,-74.1983333,,,X,X,X
waco,TX,118967,31.5491667,-97.1463889,,,X,X,X
columbia,SC,117722,34.0005556,-81.035,,,X,X,X
lansing,MI,117691,42.7325,-84.5555556,,,X,X,X
flint,MI,117258,43.0125,-83.6875,,,X,X,X
inglewood,CA,116158,33.9616667,-118.3522222,,,X,X,X
springfield,IL,115975,39.8016667,-89.6436111,,,X,X,X
evansville,IN,115474,37.9747222,-87.5558333,,,X,X,X
abilene,TX,114247,32.4486111,-99.7327778,,,X,X,X
ann arbor,MI,113810,42.2708333,-83.7263889,,,X,X,X
olathe,KS,113647,38.8813889,-94.8188889,,,X,X,X
west valley city,UT,113112,40.6916667,-112.0002778,,,X,X,X
peoria,IL,113004,40.6936111,-89.5888889,,,X,X,X
miramar,FL,112922,25.9869444,-80.2325,,,X,X,X
roseville,CA,112647,38.7522222,-121.2869444,,,X,X,X
lafayette,LA,112197,30.2238889,-92.0197222,,,X,X,X
bellevue,WA,111927,47.6105556,-122.1994444,,,X,X,X
downey,CA,111862,33.94,-118.1316667,,,X,X,X
clarksville,TN,111694,36.5297222,-87.3594444,,,X,X,X
beaumont,TX,111485,30.0858333,-94.1016667,,,X,X,X
independence,MO,110675,39.0911111,-94.4152778,,,X,X,X
manchester,NH,109877,42.9955556,-71.4552778,,,X,X,X
west covina,CA,109756,34.0686111,-117.9380556,,,X,X,X
costa mesa,CA,109250,33.6411111,-117.9177778,,,X,X,X
norwalk,CA,109111,33.9022222,-118.0808333,,,X,X,X
waterbury,CT,108507,41.5580556,-73.0519444,,,X,X,X
clearwater,FL,108064,27.9655556,-82.8002778,,,X,X,X
visalia,CA,107431,36.3302778,-119.2911111,,,X,X,X
antioch,CA,106038,38.005,-121.8047222,,,X,X,X
provo,UT,105764,40.2338889,-111.6577778,,,X,X,X
fairfield,CA,105741,38.2494444,-122.0388889,,,X,X,X
allentown,PA,105519,40.6083333,-75.4905556,,,X,X,X
richardson,TX,104791,32.9480556,-96.7294444,,,X,X,X
charleston,SC,104782,32.7763889,-79.9311111,,,X,X,X
burbank,CA,104690,34.1808333,-118.3080556,,,X,X,X
thornton,CO,104658,39.8680556,-104.9713889,,,X,X,X
pueblo,CO,104293,38.2544444,-104.6086111,,,X,X,X
westminster,CO,104037,39.8366667,-105.0366667,,,X,X,X
cary,NC,103945,35.7913889,-78.7813889,,,X,X,X
south bend,IN,103760,41.6833333,-86.25,,,X,X,X
lowell,MA,103469,42.6333333,-71.3166667,,,X,X,X
richmond,CA,103041,37.9358333,-122.3466667,,,X,X,X
killeen,TX,103009,31.1169444,-97.7275,,,X,X,X
edison,NJ,102548,40.5186111,-74.4125,,,X,X,X
santa clara,CA,102250,37.3541667,-121.9541667,,,X,X,X
norman,OK,101742,35.2225,-97.4391667,,,X,X,X
arvada,CO,101732,39.8027778,-105.0869444,,,X,X,X
highlands ranch,CO,101565,39.5538889,-104.9688889,,,X,X,X
rialto,CA,101523,34.1063889,-117.3694444,,,X,X,X
cambridge,MA,101382,42.375,-71.1061111,,,X,X,X
wichita falls,TX,101212,33.9136111,-98.4930556,,,X,X,X
west jordan,UT,101031,40.6097222,-111.9383333,,,X,X,X
green bay,WI,101012,44.5191667,-88.0197222,,,X,X,X
denton,TX,100975,33.2147222,-97.1327778,,,X,X,X
berkeley,CA,100158,37.8716667,-122.2716667,,,X,X,X
south gate,CA,99922,33.9547222,-118.2111111,,,X,X,X
erie,PA,99801,42.1291667,-80.0852778,,,X,X,X
billings,MT,99751,45.7833333,-108.5,,,X,X,X
portsmouth,VA,99049,36.8352778,-76.2986111,,,X,X,X
daly city,CA,98959,37.7058333,-122.4608333,,,X,X,X
gresham,OR,98851,45.4983333,-122.4302778,,,X,X,X
elgin,IL,98586,42.0372222,-88.2811111,,,X,X,X
livonia,MI,98218,42.3683333,-83.3527778,,,X,X,X
gary,IN,97966,41.5933333,-87.3463889,,,X,X,X
midland,TX,97782,31.9972222,-102.0775,,,X,X,X
everett,WA,96993,47.9791667,-122.2008333,,,X,X,X
centennial,CO,96930,39.5791667,-104.8763889,,,X,X,X
davenport,IA,96930,41.5236111,-90.5775,,,X,X,X
spring hill,FL,96767,28.5555556,-82.4505556,,,X,X,X
compton,CA,96749,33.8958333,-118.2191667,,,X,X,X
vacaville,CA,96469,38.3566667,-121.9866667,,,X,X,X
rochester,MN,96355,44.0216667,-92.4697222,,,X,X,X
mission viejo,CA,96287,33.6,-117.6711111,,,X,X,X
columbia,MD,96201,39.2402778,-76.8397222,,,X,X,X
carson,CA,95767,33.8313889,-118.2811111,,,X,X,X
dearborn,MI,95170,42.3222222,-83.1763889,,,X,X,X
brockton,MA,94881,42.0833333,-71.0188889,,,X,X,X
el cajon,CA,94807,32.7947222,-116.9616667,,,X,X,X
sandy springs,GA,94717,33.9241667,-84.3786111,,,X,X,X
elk grove,CA,94497,38.4088889,-121.3705556,,,X,X,X
high point,NC,94281,35.9555556,-80.0055556,,,X,X,X
macon,GA,94273,32.8405556,-83.6325,,,X,X,X
new bedford,MA,94083,41.6361111,-70.9347222,,,X,X,X
kenosha,WI,93982,42.5847222,-87.8211111,,,X,X,X
lewisville,TX,93907,33.0461111,-96.9938889,,,X,X,X
albany,NY,93794,42.6525,-73.7566667,,,X,X,X
west palm beach,FL,93620,26.715,-80.0536111,,,X,X,X
orem,UT,93060,40.2969444,-111.6938889,,,X,X,X
fall river,MA,93000,41.7013889,-71.1555556,,,X,X,X
vista,CA,92707,33.2,-117.2416667,,,X,X,X
waukegan,IL,92695,42.3636111,-87.8447222,,,X,X,X
wilmington,NC,92424,34.2255556,-77.945,,,X,X,X
fargo,ND,92103,46.8772222,-96.7894444,,,X,X,X
lawton,OK,91752,34.6086111,-98.39,,,X,X,X
redding,CA,91685,40.5866667,-122.3905556,,,X,X,X
boulder,CO,91521,40.015,-105.27,,,X,X,X
columbia,MO,91415,38.9516667,-92.3338889,,,X,X,X
odessa,TX,91256,31.8455556,-102.3672222,,,X,X,X
roanoke,VA,91168,37.2708333,-79.9416667,,,X,X,X
carlsbad,CA,91070,33.1580556,-117.3497222,,,X,X,X
sunrise,FL,90993,26.1336111,-80.1133333,,,X,X,X
tyler,TX,90878,32.3511111,-95.3008333,,,X,X,X
lakeland,FL,90761,28.0391667,-81.95,,,X,X,X
plymouth,MA,90615,41.9583333,-70.6677778,,,X,X,X
brandon,FL,90165,27.9375,-82.2861111,,,X,X,X
san mateo,CA,89982,37.5630556,-122.3244444,,,X,X,X
westminster,CA,89868,33.7591667,-118.0058333,,,X,X,X
pompano beach,FL,89715,26.2375,-80.125,,,X,X,X
lynn,MA,89691,42.4666667,-70.95,,,X,X,X
citrus heights,CA,89430,38.7072222,-121.28,,,X,X,X
miami beach,FL,89326,25.7902778,-80.1302778,,,X,X,X
quincy,MA,89168,42.2527778,-71.0027778,,,X,X,X
palm bay,FL,89093,28.0341667,-80.5888889,,,X,X,X
murrieta,CA,88714,33.5538889,-117.2130556,,,X,X,X
round rock,TX,88653,30.5080556,-97.6786111,,,X,X,X
yakima,WA,88405,46.6022222,-120.5047222,,,X,X,X
alhambra,CA,88386,34.0952778,-118.1261111,,,X,X,X
santa monica,CA,88338,34.0194444,-118.4902778,,,X,X,X
san angelo,TX,88256,31.4636111,-100.4366667,,,X,X,X
warwick,RI,88071,41.7,-71.4166667,,,X,X,X
hawthorne,CA,87083,33.9163889,-118.3516667,,,X,X,X
nashua,NH,87039,42.7652778,-71.4680556,,,X,X,X
greeley,CO,86875,40.4233333,-104.7086111,,,X,X,X
canton,MI,86825,42.3086111,-83.4822222,,,X,X,X
caguas,PR,86807,18.2361111,-66.0488889,,,X,X,X
santa barbara,CA,86681,34.4208333,-119.6972222,,,X,X,X
clovis,CA,86324,36.8252778,-119.7019444,,,X,X,X
whittier,CA,85778,33.9791667,-118.0319444,,,X,X,X
plantation,FL,85739,26.1272222,-80.2333333,,,X,X,X
broken arrow,OK,85535,36.0525,-95.7905556,,,X,X,X
santa maria,CA,85480,34.9530556,-120.4347222,,,X,X,X
temecula,CA,85145,33.4936111,-117.1475,,,X,X,X
newton,MA,84851,42.3369444,-71.2097222,,,X,X,X
trenton,NJ,84833,40.2169444,-74.7433333,,,X,X,X
westland,MI,84801,42.3241667,-83.4002778,,,X,X,X
duluth,MN,84800,46.7833333,-92.1063889,,,X,X,X
murfreesboro,TN,84700,35.8455556,-86.3902778,,,X,X,X
sparks,NV,84662,39.535,-119.7516667,,,X,X,X
norwalk,CT,84530,41.1175,-73.4083333,,,X,X,X
yuma,AZ,84316,32.7252778,-114.6236111,,,X,X,X
victorville,CA,83496,34.5361111,-117.2902778,,,X,X,X
lawrence,KS,83314,38.9716667,-95.235,,,X,X,X
longmont,CO,83291,40.1672222,-105.1013889,,,X,X,X
sioux city,IA,83248,42.5,-96.4,,,X,X,X
tracy,CA,83216,37.7397222,-121.4241667,,,X,X,X
kendall,FL,83026,25.6788889,-80.3175,,,X,X,X
cranston,RI,82926,41.7797222,-71.4377778,,,X,X,X
north charleston,SC,82838,32.8544444,-79.975,,,X,X,X
beaverton,OR,82648,45.4872222,-122.8025,,,X,X,X
davie,FL,82605,26.0625,-80.2333333,,,X,X,X
parma,OH,82565,41.4047222,-81.7230556,,,X,X,X
hillsboro,OR,82320,45.5230556,-122.9886111,,,X,X,X
kent,WA,82276,47.3811111,-122.2336111,,,X,X,X
lakewood,CA,82115,33.8536111,-118.1330556,,,X,X,X
deltona,FL,82008,28.9002778,-81.2638889,,,X,X,X
fort smith,AR,81985,35.3858333,-94.3983333,,,X,X,X
bloomington,MN,81383,44.8408333,-93.2980556,,,X,X,X
guaynabo,PR,81363,18.3594444,-66.1113889,,,X,X,X
troy,MI,81269,42.6055556,-83.15,,,X,X,X
cicero,IL,81184,41.8455556,-87.7538889,,,X,X,X
federal way,WA,80815,47.3225,-122.3113889,,,X,X,X
suffolk,VA,80690,36.7280556,-76.5838889,,,X,X,X
boca raton,FL,80689,26.3583333,-80.0833333,,,X,X,X
baldwin park,CA,80566,34.0852778,-117.96,,,X,X,X
camden,NJ,80412,39.9258333,-75.12,,,X,X,X
livermore,CA,80347,37.6819444,-121.7669444,,,X,X,X
clifton,NJ,80245,40.8583333,-74.1641667,,,X,X,X
las cruces,NM,80184,32.3122222,-106.7777778,,,X,X,X
farmington hills,MI,79955,42.4852778,-83.3772222,,,X,X,X
san leandro,CA,79904,37.725,-122.155,,,X,X,X
tuscaloosa,AL,79816,33.2097222,-87.5691667,,,X,X,X
reading,PA,79799,40.3355556,-75.9272222,,,X,X,X
racine,WI,79263,42.7261111,-87.7827778,,,X,X,X
buena park,CA,79157,33.8675,-117.9972222,,,X,X,X
hammond,IN,78883,41.5833333,-87.5,,,X,X,X
newport beach,CA,78702,33.6188889,-117.9280556,,,X,X,X
danbury,CT,78565,41.3947222,-73.4544444,,,X,X,X
college station,TX,78533,30.6277778,-96.3341667,,,X,X,X
ogden,UT,78324,41.2230556,-111.9730556,,,X,X,X
chino hills,CA,78211,33.8936111,-117.7263889,,,X,X,X
canton,OH,78160,40.7988889,-81.3786111,,,X,X,X
silver spring,MD,77951,38.9905556,-77.0263889,,,X,X,X
casas adobes,AZ,77904,32.3233333,-110.9944444,,,X,X,X
decatur,IL,77868,39.8402778,-88.9547222,,,X,X,X
youngstown,OH,77540,41.0997222,-80.6497222,,,X,X,X
cheektowaga,NY,77387,42.9033333,-78.755,,,X,X,X
roswell,GA,77218,34.0230556,-84.3616667,,,X,X,X
napa,CA,77015,38.2972222,-122.2844444,,,X,X,X
southfield,MI,76828,42.4733333,-83.2219444,,,X,X,X
lake forest,CA,76733,33.6469444,-117.6883333,,,X,X,X
mayaguez,PR,76503,18.2030556,-67.14,,,X,X,X
melbourne,FL,76326,28.0833333,-80.6083333,,,X,X,X
longview,TX,75920,32.5005556,-94.7402778,,,X,X,X
allen,TX,75868,33.1030556,-96.6702778,,,X,X,X
bellflower,CA,75847,33.8816667,-118.1161111,,,X,X,X
albany,GA,75794,31.5783333,-84.1558333,,,X,X,X
sugar land,TX,75777,29.6194444,-95.6347222,,,X,X,X
waterford,MI,75737,42.7022222,-83.4027778,,,X,X,X
champaign,IL,75670,40.1163889,-88.2433333,,,X,X,X
the woodlands,TX,75527,30.1577778,-95.4891667,,,X,X,X
chino,CA,75494,34.0122222,-117.6880556,,,X,X,X
evanston,IL,75311,42.0411111,-87.69,,,X,X,X
somerville,MA,75261,42.3875,-71.1,,,X,X,X
arlington heights,IL,74995,42.0883333,-87.9805556,,,X,X,X
pawtucket,RI,74965,41.8786111,-71.3830556,,,X,X,X
upland,CA,74230,34.0975,-117.6475,,,X,X,X
kalamazoo,MI,74138,42.2916667,-85.5872222,,,X,X,X
edmond,OK,73915,35.6527778,-97.4777778,,,X,X,X
bethlehem,PA,73710,40.6258333,-75.3708333,,,X,X,X
hesperia,CA,73640,34.4263889,-117.3,,,X,X,X
bellingham,WA,73469,48.7597222,-122.4869444,,,X,X,X
schaumburg,IL,73451,42.0333333,-88.0833333,,,X,X,X
bolingbrook,IL,73220,41.6986111,-88.0683333,,,X,X,X
scranton,PA,73206,41.4088889,-75.6627778,,,X,X,X
nampa,ID,73064,43.5408333,-116.5625,,,X,X,X
new rochelle,NY,72786,40.9113889,-73.7827778,,,X,X,X
merced,CA,72619,37.3022222,-120.4819444,,,X,X,X
lawrence,MA,72609,42.7069444,-71.1636111,,,X,X,X
lynwood,CA,72397,33.9302778,-118.2105556,,,X,X,X
plymouth,MN,72239,45.0105556,-93.4552778,,,X,X,X
redwood city,CA,71969,37.4852778,-122.2352778,,,X,X,X
saint joseph,MO,71745,39.7686111,-94.8463889,,,X,X,X
largo,FL,71666,27.9091667,-82.7875,,,X,X,X
catalina foothills,AZ,71589,32.2977778,-110.9180556,,,X,X,X
new britain,CT,71455,41.6611111,-72.78,,,X,X,X
wilmington,DE,71356,39.7458333,-75.5469444,,,X,X,X
gulfport,MS,71329,30.3672222,-89.0927778,,,X,X,X
bloomington,IN,71253,39.1652778,-86.5263889,,,X,X,X
frisco,TX,71025,33.1505556,-96.8233333,,,X,X,X
greenville,NC,70757,35.6125,-77.3666667,,,X,X,X
bloomington,IL,70706,40.4841667,-88.9936111,,,X,X,X
chico,CA,70565,39.7286111,-121.8363889,,,X,X,X
cherry hill,NJ,70475,39.9347222,-75.0311111,,,X,X,X
alameda,CA,70443,37.7652778,-122.2405556,,,X,X,X
lake charles,LA,70309,30.2263889,-93.2172222,,,X,X,X
wyoming,MI,70308,42.9133333,-85.7052778,,,X,X,X
redlands,CA,70287,34.0555556,-117.1816667,,,X,X,X
